TIME,AIRLINE,FLIGHT_NUMBER,TRANSACTION,TERMINAL,GATE,REMARK,data_as_of,data_loaded_at
2025/07/27 12:12:00 AM,United,UA853,DEP,I,G6,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 02:49:00 PM,United,UA5734,DEP,3,F8,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 09:06:00 AM,United,UA1212,DEP,3,D14,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 01:39:00 PM,United,UA901,DEP,I,G5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 08:26:00 PM,United,UA1272,ARR,I,G12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 10:55:00 PM,Alaska,AS3447,DEP,1,B12,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 08:53:00 PM,United,UA1272,ARR,I,G12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 09:55:00 PM,Alaska,AS791,ARR,1,B21,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 12:16:00 PM,United,UA2349,ARR,I,A15,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 11:36:00 AM,Alaska,AS3457,DEP,1,B21,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 10:36:00 AM,Alaska,AS458,ARR,1,B12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 01:51:00 PM,United,UA5518,ARR,3,F5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 03:42:00 PM,Lufthansa,LH455,DEP,I,G13,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 01:11:00 AM,United,UA189,DEP,I,G2,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 05:40:00 PM,United,UA4805,DEP,3,F7,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 12:29:00 PM,United,UA5812,DEP,3,F8,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 10:52:00 PM,American,AA276,DEP,1,B25,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 12:28:00 PM,Alaska,AS3479,DEP,1,B12,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 09:53:00 AM,United,UA714,ARR,2,D9,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 04:54:00 PM,United,UA1754,DEP,2,D14,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 06:21:00 AM,American,AA234,DEP,1,B20,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 10:25:00 AM,Flair Airlines,F81847,DEP,I,B2,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 07:01:00 AM,United,UA1883,DEP,3,D14,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 07:13:00 AM,Alaska,AS2047,DEP,1,B13,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 11:30:00 AM,Southwest,WN4243,ARR,2,D6,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 10:19:00 PM,Frontier,F92638,DEP,I,A15,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 05:58:00 PM,Southwest,WN3036,ARR,2,D6,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 10:04:00 PM,Alaska,AS1005,ARR,1,B7,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 05:04:00 PM,United,UA431,ARR,2,D14,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 03:14:00 PM,KLM,KL606,DEP,I,A13,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 09:24:00 PM,United,UA5533,ARR,3,F8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 03:12:00 PM,United,UA776,ARR,3,E9,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 12:38:00 AM,Cathay Pacific,CX851,DEP,I,A9,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 09:58:00 AM,United,UA717,DEP,3,E13,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 07:07:00 PM,United,UA2197,ARR,3,E12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 07:03:00 PM,Alaska,AS2083,DEP,1,B14,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 08:53:00 AM,United,UA784,DEP,3,F20,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 02:09:00 PM,American,AA2387,DEP,1,B23,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 09:11:00 AM,United,UA1744,ARR,3,E13,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 02:57:00 PM,JAL,JL57,DEP,I,A5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 09:47:00 PM,United,UA4695,DEP,3,F8,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 10:23:00 AM,United,UA2,ARR,I,G5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 12:22:00 AM,Southwest,WN2908,ARR,2,D3,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 09:50:00 PM,Alaska,AS7,ARR,1,B21,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 11:47:00 AM,United,UA714,ARR,2,D16,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
